AUC: 0.501379, CE: 0.677692 + 0.013355, CEpre: 0.717960 + 0.031937, time 967.55
AUC: 0.517414, CE: 0.765565 + 0.035689, CEpre: 4.578067 + 0.672167, time 983.93
AUC: 0.614828, CE: 0.648175 + 0.025035, CEpre: 0.649078 + 0.021726, time 1121.57
AUC: 0.635517, CE: 0.610871 + 0.030933, CEpre: 0.611030 + 0.029583, time 2625.01
AUC: 0.472069, CE: 0.750503 + 0.026561, CEpre: 3.409561 + 0.364303, time 2647.03
AUC: 0.527931, CE: 0.700075 + 0.013448, CEpre: 1.185921 + 0.156892, time 3060.86
AUC: 0.487931, CE: 0.688908 + 0.008309, CEpre: 0.705944 + 0.023534, time 3287.40
AUC: 0.500000, CE: 0.693147 + 0.000000, CEpre: 0.693147 + 0.000000, time 3362.68
AUC: 0.531207, CE: 0.688616 + 0.009205, CEpre: 0.690042 + 0.004030, time 3466.48
AUC: 0.462759, CE: 0.709747 + 0.017785, CEpre: 1.647671 + 0.200057, time 3530.06
AUC: 0.500000, CE: 0.693147 + 0.000000, CEpre: 0.693147 + 0.000000, time 3552.16
AUC: 0.567931, CE: 0.663757 + 0.019284, CEpre: 0.672759 + 0.029235, time 3714.70
AUC: 0.500000, CE: 0.693147 + 0.000000, CEpre: 0.693147 + 0.000000, time 3977.26
AUC: 0.527931, CE: 0.709403 + 0.019773, CEpre: 1.817160 + 0.321212, time 4366.95
AUC: 0.527586, CE: 0.677125 + 0.014139, CEpre: 0.679648 + 0.019853, time 4692.22
AUC: 0.537241, CE: 0.715475 + 0.020694, CEpre: 2.027116 + 0.263404, time 4827.37
AUC: 0.521897, CE: 0.683490 + 0.006577, CEpre: 0.693147 + 0.000000, time 5407.54
AUC: 0.533966, CE: 0.717258 + 0.022360, CEpre: 2.158953 + 0.407998, time 5491.75
AUC: 0.476207, CE: 0.686749 + 0.010122, CEpre: 0.691108 + 0.017863, time 6276.25
AUC: 0.463793, CE: 0.719005 + 0.020596, CEpre: 2.016082 + 0.251006, time 6296.35
AUC: 0.510000, CE: 0.686729 + 0.006418, CEpre: 0.686796 + 0.006351, time 7232.53
AUC: 0.526552, CE: 0.683702 + 0.014633, CEpre: 0.684923 + 0.020687, time 7279.87
AUC: 0.574828, CE: 0.652916 + 0.022025, CEpre: 0.670052 + 0.035251, time 7520.82
AUC: 0.598621, CE: 0.632873 + 0.029725, CEpre: 0.635219 + 0.023643, time 8439.99
AUC: 0.639655, CE: 0.630148 + 0.028909, CEpre: 0.636601 + 0.038448, time 9424.65
AUC: 0.500000, CE: 0.693147 + 0.000000, CEpre: 0.693147 + 0.000000, time 10477.76
AUC: 0.659310, CE: 0.630627 + 0.027898, CEpre: 0.630728 + 0.026843, time 12241.43
AUC: 0.578621, CE: 0.661898 + 0.022380, CEpre: 0.690704 + 0.057638, time 13292.86
AUC: 0.601379, CE: 0.647164 + 0.023391, CEpre: 0.647168 + 0.023605, time 14778.55
AUC: 0.586034, CE: 0.660187 + 0.022600, CEpre: 0.663635 + 0.030132, time 15163.31
AUC: 0.549655, CE: 0.657767 + 0.018851, CEpre: 0.661703 + 0.023971, time 16280.99
AUC: 0.500000, CE: 0.693147 + 0.000000, CEpre: 0.693147 + 0.000000, time 17267.00
AUC: 0.500000, CE: 0.693147 + 0.000000, CEpre: 0.693147 + 0.000000, time 18805.62
AUC: 0.607931, CE: 0.666392 + 0.019726, CEpre: 0.666991 + 0.016768, time 19506.90
AUC: 0.526552, CE: 0.688248 + 0.009520, CEpre: 0.733940 + 0.061581, time 19713.29
AUC: 0.556552, CE: 0.652350 + 0.019833, CEpre: 0.668514 + 0.032109, time 20394.37
AUC: 0.500000, CE: 0.693147 + 0.000000, CEpre: 0.693147 + 0.000000, time 21874.19
AUC: 0.526897, CE: 0.700982 + 0.014343, CEpre: 1.260879 + 0.176937, time 22334.94
AUC: 0.472069, CE: 0.713894 + 0.018489, CEpre: 1.827598 + 0.308946, time 22373.12
AUC: 0.609310, CE: 0.653682 + 0.021749, CEpre: 0.654186 + 0.019377, time 22487.94
AUC: 0.563448, CE: 0.650656 + 0.019493, CEpre: 0.650873 + 0.018472, time 22784.47
AUC: 0.596897, CE: 0.662096 + 0.020791, CEpre: 0.662871 + 0.024044, time 23041.07
AUC: 0.557069, CE: 0.686497 + 0.011093, CEpre: 0.686586 + 0.009809, time 23107.18
AUC: 0.472069, CE: 0.715114 + 0.019104, CEpre: 1.896190 + 0.326090, time 24010.37
AUC: 0.558966, CE: 0.697890 + 0.029453, CEpre: 2.330636 + 0.491472, time 24496.72
AUC: 0.643793, CE: 0.649889 + 0.026407, CEpre: 0.653920 + 0.035226, time 25440.01
AUC: 0.469828, CE: 0.725753 + 0.020442, CEpre: 2.248737 + 0.284415, time 25459.46
AUC: 0.500000, CE: 0.693147 + 0.000000, CEpre: 0.693147 + 0.000000, time 26928.13
AUC: 0.671379, CE: 0.623836 + 0.031252, CEpre: 0.626151 + 0.037719, time 27190.05
AUC: 0.570862, CE: 0.683494 + 0.012238, CEpre: 0.683687 + 0.014335, time 27422.72
AUC: 0.589310, CE: 0.660293 + 0.023447, CEpre: 0.662805 + 0.031483, time 27556.27
AUC: 0.648276, CE: 0.643535 + 0.027548, CEpre: 0.649623 + 0.037502, time 27639.64
AUC: 0.490690, CE: 0.698984 + 0.012497, CEpre: 1.106205 + 0.136137, time 27796.77
AUC: 0.472069, CE: 0.711645 + 0.011924, CEpre: 1.370208 + 0.177205, time 27957.19
AUC: 0.501552, CE: 0.689541 + 0.005788, CEpre: 0.690352 + 0.003735, time 27991.90
AUC: 0.527931, CE: 0.728045 + 0.031843, CEpre: 3.391422 + 0.518712, time 28039.65
AUC: 0.645345, CE: 0.626681 + 0.027919, CEpre: 0.626821 + 0.029090, time 28551.45
AUC: 0.509310, CE: 0.700789 + 0.010399, CEpre: 1.044470 + 0.113365, time 28576.95
AUC: 0.524483, CE: 0.686238 + 0.009848, CEpre: 0.686299 + 0.010748, time 28838.56
AUC: 0.560000, CE: 0.691324 + 0.005796, CEpre: 0.693044 + 0.000169, time 29005.81
AUC: 0.539655, CE: 0.673480 + 0.016900, CEpre: 0.679436 + 0.026821, time 29102.62
AUC: 0.502069, CE: 0.710465 + 0.013694, CEpre: 1.443196 + 0.203108, time 29192.27
AUC: 0.527931, CE: 0.699343 + 0.012818, CEpre: 1.132447 + 0.142975, time 29317.89
AUC: 0.527931, CE: 0.703861 + 0.016309, CEpre: 1.455019 + 0.226878, time 29372.13
AUC: 0.492069, CE: 0.684999 + 0.008480, CEpre: 0.692844 + 0.000257, time 29698.12
AUC: 0.634655, CE: 0.647462 + 0.026954, CEpre: 0.648862 + 0.032013, time 30348.64
AUC: 0.517241, CE: 0.664345 + 0.018848, CEpre: 0.666170 + 0.023510, time 30903.89
AUC: 0.587241, CE: 0.667703 + 0.020887, CEpre: 0.674870 + 0.033594, time 31114.16
AUC: 0.553103, CE: 0.680779 + 0.012557, CEpre: 0.681451 + 0.015755, time 31877.47
AUC: 0.651379, CE: 0.658696 + 0.022286, CEpre: 0.660783 + 0.027672, time 32303.56
AUC: 0.473103, CE: 0.686915 + 0.008013, CEpre: 0.693142 + 0.000004, time 32563.14
AUC: 0.508621, CE: 0.690187 + 0.005597, CEpre: 0.693090 + 0.000076, time 32808.04
AUC: 0.473103, CE: 0.704323 + 0.015501, CEpre: 1.408499 + 0.214965, time 33059.00
AUC: 0.500000, CE: 0.693147 + 0.000000, CEpre: 0.693147 + 0.000000, time 33578.21
AUC: 0.498793, CE: 0.686774 + 0.006403, CEpre: 0.693145 + 0.000002, time 34098.18
AUC: 0.707759, CE: 0.577082 + 0.032841, CEpre: 0.577414 + 0.031249, time 35131.44
AUC: 0.527931, CE: 0.696997 + 0.021530, CEpre: 1.671980 + 0.314706, time 36264.48
AUC: 0.587586, CE: 0.657942 + 0.020562, CEpre: 0.658000 + 0.021286, time 37558.71
AUC: 0.547759, CE: 0.687118 + 0.010104, CEpre: 0.687136 + 0.009567, time 38550.94
AUC: 0.566724, CE: 0.650964 + 0.022109, CEpre: 0.651114 + 0.020911, time 39132.64
AUC: 0.591034, CE: 0.660824 + 0.021013, CEpre: 0.663560 + 0.026668, time 40254.45
AUC: 0.512931, CE: 0.704649 + 0.017450, CEpre: 1.541611 + 0.250367, time 41619.13
AUC: 0.511379, CE: 0.681485 + 0.014608, CEpre: 0.681793 + 0.012095, time 42909.57
AUC: 0.537931, CE: 0.692575 + 0.003236, CEpre: 0.692691 + 0.001788, time 43698.34
AUC: 0.565690, CE: 0.661703 + 0.019065, CEpre: 0.662276 + 0.021995, time 44921.04
AUC: 0.523103, CE: 0.696485 + 0.011408, CEpre: 0.987465 + 0.118329, time 44937.92
AUC: 0.647586, CE: 0.625135 + 0.027182, CEpre: 0.627958 + 0.032215, time 46262.06
AUC: 0.509310, CE: 0.706823 + 0.022740, CEpre: 1.973921 + 0.380514, time 47086.22
AUC: 0.553448, CE: 0.668230 + 0.019781, CEpre: 0.672877 + 0.030007, time 47125.95
AUC: 0.580345, CE: 0.665544 + 0.020064, CEpre: 0.667079 + 0.024885, time 47275.17
AUC: 0.500000, CE: 0.693147 + 0.000000, CEpre: 0.693147 + 0.000000, time 47292.69
AUC: 0.594138, CE: 0.661779 + 0.020937, CEpre: 0.661783 + 0.021135, time 47541.47
AUC: 0.500000, CE: 0.693147 + 0.000000, CEpre: 0.693147 + 0.000000, time 49094.57
AUC: 0.541034, CE: 0.679735 + 0.015519, CEpre: 0.709464 + 0.044588, time 49688.51
AUC: 0.469483, CE: 0.685319 + 0.008569, CEpre: 0.686039 + 0.010093, time 50182.47
AUC: 0.524138, CE: 0.688308 + 0.009483, CEpre: 0.735090 + 0.062338, time 50436.51
AUC: 0.681724, CE: 0.612489 + 0.034086, CEpre: 0.619483 + 0.045473, time 51050.08
